'      號
x/t       渺小
x/t            水系
x/t5          沙紙
x/th  決策當局
x/u        洫
x/u    濞
x/ui          湯藥
x/ui        沙茶
x/ul     渺茫
x/un    源泉萬斛
x/v       澳
x/v        混血種
x/v0         滲透
x/w      混血兒
x/w       清泉崗
x/ws    沙岸
x/ww    滲出
x/x     沒
x/x      激
x/x        汲
x/x    湯水
x/x            流鼻涕
x/x       溫泉浴
x/x 演算法
x/x.        涕淚
x/x.      沙汰
x/x.   流鼻水
x/x/      沙沙
x/x/       湯湯
x/x/   渺渺
x/x1   沙洲
x/x4  涕泗
x/xb  渺沔
x/xc    湯池
x/xc   滲漉
x/xd            沙渚
x/xf       沙灘
x/xf     澎湃
x/xj        澎湖
x/xj    沙河
x/xk         涕泣
x/xm  沙漏
x/xm   滲漏
x/xp      又臭又長
x/xv    沙漠
x/xx            流血流汗
x/y         湯火
x/z   溶血性
x0       淦
x0.   游錫堃
x00q        流金鑠石
x01         淘金記
x055      渾金璞玉
x08m           洗錢弊案
x0;z          液態
x0a   逢人
x0ac           液化
x0ae           逢低
x0c   滑鐵盧
x0cke          滑鐵盧之役
x0coe          滑鐵盧戰役
x0d1         逢甲
x0dd  液晶
x0e         澄
x0e           湀
x0e 漈
x0et     漈
x0eu        澄
x0ev           湀
x0hf      液壓
x0i          沙發椅
x0k   水銀
x0m  洗錢案
x0mu   液體
x0mx     水銀電池
x0q        水鏡
x0r      潑
x0r0            逢迎
x0rx     潑
x0t 漈
x0u     澄
x0u   洋金花
x0u     潘金蓮
x0uo       漣落
x0v        湀
x0x  潑
x0x0    漣漣
x0x1    漣洏
x0xc1          水銀溫度計
x0xf            水銀瀉地
x0xi           涎沫
x0xj         漣漪
x0xs        液汁
x0y  水銀燈
x0y  溴鎢燈
x0y/         水銀燈管
x0ye           水銀燈下
x0yx    水銀燈泡
x1     希
x1,c      沖犯
x1.a            漸次
x1.y    漸為
x1/      測試的
x1/0 滯延
x1/f     濡筆
x1/td          測試的結果
x10j  滯銷
x10j         沖銷
x11           汌
x11  演講詞
x111          汌
x119      各讓一步
x11; 滯訟
x11m    漢語詞典
x11x        漸變
x12       滸
x12s      滸
x136         沸鼎
x14o    沸點
x15f     測試環境
x15q 漸現
x16 測試版
x16z     滯悶
x17o         希圖
x18        又讀
x19.2            流言止於智者
x198     希冀
x1;   演講台
x1a      又該
x1a 沖人
x1a           測試儀
x1a   演講人
x1a.           滯伏
x1a            演講會
x1a0           漸進
x1a1   又一個
x1a;       沖蝕
x1ao          消護人員
x1b      灣
x1bc 沖孔
x1cm          演講比賽
x1cu    沖虛
x1d            沒說是
x1e        測試後
x1e.        漸得
x1e/t 測試後的結果
x1ej  漸行
x1eo      決一死戰
x1ev        沖天
x1ex  滯後
x1ex         希微
x1f9    沖走
x1fc 漸地
x1fc  深謀遠慮
x1fd       漸增
x1fk           沖壞
x1fo           沖喜
x1gk      漢語拼音
x1gs        沖掉
x1h          漢諾威
x1h0      漸近
x1hd   漸層
x1hf     沖壓
x1hn      沖刷
x1i        灤
x1jb          沸騰
x1jd        希臘
x1jm          漢語辭典
x1jx            漸受
x1jx        沖服
x1jy      沛然
x1jy   澹然
x1k5  希望
x1k8    浙贛
x1k;     淅颯
x1m   決議案
x1m   演說家
x1m1 波詭雲譎
x1m1   波譎雲詭
x1mf       滯塞
x1mm            漢語字典
x1ms 希罕
x1nz           湍急
x1o    測試中
x1o       測試器
x1o       測謊器
x1p5    深諳其理
x1pd   漸階
x1pt       洲際
x1q           又說
x1q9      滯礙
x1r    溲
x1r7      滯留
x1rp  沖印
x1rv         河川工程
x1s   滸
x1sj   漸有
x1sj  希有
x1sl         希世
x1t   灣
x1t         灤
x1tb       灣
x1ti           灤
x1tr   沖繩
x1u       測試前
x1u/    澹蕩
x1uh 殺一警百
x1ui         沖茶
x1uv  沸羹
x1v      浙大
x1v        演講稿
x1v1        污言穢語
x1v8       沖積
x1vfm    汶川大地震
x1vj            希奇
x1vo   沖和
x1w  溲
x1wx            溲
x1x         溲
x1x         沸水
x1x          測試法
x1x       洗一洗
x1x  泡一泡
x1x  水變油
x1x1     漸漸
x1x1           沖沖
x1x1   沛沛
x1x1      淅淅
x1x1         沸沸
x1x1            浮說游詞
x1x1           各說各話
x1x5   漸減
x1x9       淅瀝
x1xc        滯泥
x1xd    澹泊
x1xi    濡染
x1xi  漸染
x1xq     沖洗
x1xq           湍流
x1xr      浙江
x1xs      沛澤
x1xs5         婆說婆有理
x1xx            沖激
x1xy      沖淡
x1xy           沖瀉
x2.  海
x2/      漡
x2/p      漫無邊際
x20         逄
x20         鍌
x22          湋
x22          活生生
x22/     活生生的
x23/           漫無目的
x249   漢生西路
x26  油罐車
x27     海
x27        瀿
x27.        海
x27t         瀿
x28         灒
x29f          漫無止境
x2a 法制化
x2a1     逢二進一
x2ax       泥牛入海
x2b       流失了
x2b 消失了
x2c  汔
x2d            潪
x2d   漡
x2d/       漡
x2e  泩
x2f  水牛城
x2g   消失掉
x2hv     流年不利
x2i  洙
x2i9     漢生東路
x2kf          鴻鵠之志
x2ki           汗牛充棟
x2m            淛
x2m/           逢年過節
x2mn          淛
x2n         淛
x2o        浩
x2o      湋
x2o2      湋
x2p2            漫無限制
x2q         洗
x2q         灒
x2q 鍌
x2q0   鍌
x2q8     灒
x2s    潕
x2s  汻
x2s 希特勒
x2sy     潕
x2t 瀿
x2t       法制組
x2ua     法制觀念
x2v   泆
x2v       潪
x2vd   潪
x2xo   洚洞
x2y      潕
x2y      又無
x3         湘
x3          乂
x3.      湨
x3/       渺
x3/        活見鬼
x31       沒見識
x33         灈
x33f    灈
x35      濺
x36    濎
x38         測
x38 濺
x38   浿
x38 瀴
x385    濺
x38l 瀴
x38n           測
x3a           濉
x3af    濉
x3cc       滿目瘡痍
x3f       濉
x3f       灈
x3jg        洎乎
x3k      注目禮
x3l           瀴
x3m      沒見過
x3m6          湘軍
x3n        測
x3q       涀
x3ss      湘南
x3t        渺
x3t/       渺
x3v            湨
x3v.   湨
x3x            流眼淚
x3xr       湘江
x4           泗
x4          洒
x4       潶
x4,       潀
x4/x            波羅的海
x4/x3      波羅的海三小國
x41a   污點證人
x46       婆羅門
x46            波羅門
x49          河西路
x4;    濁
x4a     潀
x4b  濁
x4b;   濁
x4bwl         又要馬兒好，又要馬兒不吃草
x4d 潭
x4d  浮點數
x4ds  潭
x4e    漂
x4e        澴
x4ek            澴
x4et  漂
x4f     澤
x4f          湮
x4f     水墨
x4fc     河西走廊
x4fs         澤
x4h            瀱
x4h1        沉默不語
x4hn       瀱
x4i            溧
x4k           澴
x4l            又要
x4m          潭
x4m        波羅蜜
x4m,      洒家
x4m   波羅密
x4m         浮點運算
x4m1 沉默寡言
x4n     瀱
x4n  深黑色
x4p  法西斯
x4pku   法西斯主義
x4pt         法西斯黨
x4r       水墨畫
x4s 澤
x4s     潭
x4t      漂
x4t    江西省
x4t      湖西鄉
x4wx       潑墨山水
x4x   泗水
x4x 洒水
x4x  汨羅江
x4x          婆羅洲
x4x4       瀾瀾
x4xx 瀾漫
x5           汪
x5.v      滅族
x5.y      減為
x5/            濏
x5/a  淺笑
x5/f    潤筆
x5/z    減息
x51k  減讓
x51q  淺說
x51y            淺談
x538        淫具
x53q     淺見
x55    濏
x55/      濏
x56          滅門
x56p        淺聞
x56r   減輕
x57       沒理由
x57.           弒母
x58x  弒父
x58z    洩忿
x58z  洩慾
x58z            淫慾
x59t      滅跡
x5;           流理台
x5;,            法理台獨
x5;r     滅蠅
x5a1           潤飾
x5a8         減價
x5ac           減化
x5ae         減低
x5av       淫佚
x5c1          滅飛
x5c3         淫靡
x5c8         洩氣
x5ce   洩底
x5cj 潤膚
x5d 海王星
x5d/        淺易
x5d8    淺顯
x5df            減量
x5dj       淺明
x5dx        減數
x5dy  淫照
x5e5 淫戒
x5e8          滅頂
x5ef         減至
x5en   減刑
x5f;       減去
x5fp      淫聲
x5g8           減損
x5gs           減掉
x5gs            滅掉
x5h0   淺近
x5h5     淫威
x5hc        滅屍
x5hf           減壓
x5i0       減速
x5j1        潤肺
x5jc  減肥
x5jc    淫亂
x5js     減胖
x5js   淫辭
x5ke        減產
x5kk         淫褻
x5kl     滅亡
x5kq         淫視
x5l1      淫婦
x5lx       減收
x5m        淫雨
x5mo  洩露
x5mw  洩密
x5n0          淫逸
x5nc    潤色
x5nc 淺色
x5nc            減色
x5nf            淺鮮
x5nq        減免
x5o  滅口
x5oq          減號
x5ov 潤喉
x5p          潤身
x5pi           減除
x5pl           淺陋
x5q;     淫風
x5r.            減弱
x5r0        減退
x5r8            減項
x5rb  淫巧
x5rd      淫書
x5ro            弒君
x5s8  淺黃
x5t  減小
x5t/ 減少
x5t3            減省
x5tc 滅絕
x5td       減縮
x5tn 減削
x5tr  淺紅
x5tx    減緩
x5tx 淺綠
x5u.  淺薄
x5u/            淫蕩
x5u1          減薪
x5ui      淫業
x5us    減半
x5uu      淺藍
x5v5       淫穢
x5vf            滅種
x5vq    減稅
x5w5    滅鼠
x5wg  淺學
x5wi  湧現出來
x5x.     淺海
x5x/    洩涕
x5x5          泯滅
x5x5      汪汪
x5x5          淫淫
x5x5    泯泯
x5x5        淺淺
x5x5  濺濺
x5x50    洩洩
x5x8        洩洪
x5x;       減法
x5xd           洩沓
x5xf       汪洋
x5xf       淺灘
x5xi           濺沬
x5xj         潤滑
x5xm       洩漏
x5xs  潤澤
x5xx          泯沒
x5xy       淺淡
x5xy        濺濕
x5xy    洩瀉
x5y    滅火
x5z8       洩憤
x5ze       滅性
x5zk  洩恨
x5zx    減慢
x6        淵
x6   浦
x6 沜
x6.  溥
x6.         又將
x6.a         汽車旅館
x6/ 灁
x6/m         滅門血案
x6/x   灁
x60          漣
x61           漸
x61  水閘
x62oe           澳門特別行政區
x62re     澳門特區政府
x64        瀾
x65         潤
x65o     渾噩
x678         渾圓
x67g          深閉固拒
x68b            汽車公司
x68o         淵谷
x6;  魙
x6a 沒關係
x6a1v            汽車修護科
x6af   汽車貸款
x6ao     海關人員
x6as            酒闌人散
x6b;     渾蛋
x6d            澗
x6d      沒問題
x6e    潼關街
x6em 海闊天空
x6eq     渾元
x6f      法門寺
x6fg     濃妝艷抹
x6g       溥
x6g            游擊手
x6g.         溥
x6g2      沿門托缽
x6h       漸
x6h          魙
x6h  汽車展
x6h1    漸
x6h5            渾成
x6h;      魙
x6hg       渾厚
x6hr    汽車展覽
x6i            瀾
x6i    澖
x6i       渦輪機
x6i4     瀾
x6i8     汽車材料
x6i8e            汽車材料行
x6id        浦東
x6j     汽車股
x6jy 渾然
x6k      潣
x6kh            流連忘返
x6kx       潣
x6m       浦
x6m       鴻門宴
x6m,       渾家
x6ng        減輕負担
x6ng         減輕負擔
x6no   渾名
x6o     闊
x6o           灛
x6o 游擊戰
x6oe      游擊戰術
x6os  灛
x6p           渾身
x6p 游擊隊
x6r          法輪功
x6rf        淵雅
x6ru    汽車工業
x6ru 渦輪引擎
x6s    灛
x6s.          淵博
x6t4 海關總署
x6tvb      海關總稅務司署
x6u        汽車業
x6ux  淵藪
x6v          闊
x6x  潣
x6x         灁
x6x         渾水
x6x           沖擊波
x6x            溫開水
x6x         激將法
x6x3        瀟湘
x6x6       瀟瀟
x6x6        淵淵
x6x9         桑間濮上
x6x;         渾濁
x6xc      瀟灑
x6xi         淵深
x6xt     淵源
x6xw   渾沌
x6y       剎車燈
x7 潘
x7  沺
x7,        溷
x7,o    溜狗
x7.        水母
x7.m8           法國航空公司
x7.x    溜冰
x7/p   咎由自取
x70        沉思錄
x71   淠
x71kw   法國語文學系
x72  潿
x722         潿
x75     漍
x76u          溜開
x77      灅
x77f      灅
x78     潩
x79  溪園路
x790          溜躂
x7a            泅
x7a          法國人
x7b     涄
x7e       漍
x7e       渨
x7e,        溷
x7e  淠
x7e           水田街
x7e1            淠
x7e5          漍
x7ek       渨
x7f    灅
x7f9 溜走
x7f;        溜去
x7gn        濟困扶危
x7gs  溜掉
x7i            涃
x7i          滾回來
x7j  渭
x7k  濃
x7k      渨
x7kc 深思熟慮
x7n           邍
x7o 涸
x7o      洄
x7o          溜口
x7o      沒胃口
x7p/         瀋陽
x7s     油
x7s  涸
x7s   潩
x7s   涄
x7s.         淄博
x7s/     溿
x7s8       潩
x7sb       涄
x7so       涸
x7t      漯
x7tq        溜光
x7tt         法國總統
x7u  濃
x7u        澧
x7u         溿
x7u            淠
x7u         灃
x7u           灩
x7u           浀
x7u     水曲
x7u            鴻圖道
x7uk      濃
x7us     溿
x7uu    澧
x7uu           灩
x7v  洇
x7vh    鴻圖大展
x7vn        滿園春色
x7vsa        法國大革命
x7x7     溜溜
x7xa         又累又餓
x7xj   溜滑
x7xr 河圖洛書
x8       酒
x8         汃
x8,         酒力
x8.. 瀕於
x8.8 酒旗
x8/          涕
x8/5        酒箴
x8/;            酒鬼
x8/u       演算
x8/x          酒泉
x80.          洪鈞
x805 酒錢
x806       酒鋪
x81f          演講
x81o   酒話
x81q 演說
x81x         演變
x82            潾
x82k        水米無交
x82s           酒罈
x83x     潰敗
x84        潧
x84d         潧
x86 洪門
x87     瀵
x878            瀵
x87z       洪恩
x88         瀵
x888   酒類
x88d 酒糟
x88j           酒精
x88s         酒醉
x8;    滃
x8;b  滃
x8a.           酒令
x8a0    演進
x8a2     油料作物
x8ac     演化
x8ad           酒會
x8ai          酒保
x8aj            酒餚
x8ar        酒館
x8aw    酒仙
x8b  滃
x8b 清醒了
x8bd   演習
x8c/  潰瘍
x8c1         酒席
x8c5   演戲
x8c8         灝氣
x8c;           酒瘋
x8cn 演劇
x8co 酒店
x8cp    酒廊
x8cz            酒癮
x8d       潧
x8d6         酒暈
x8df     酒量
x8df          洪量
x8e  汪精衛
x8e5          洪武
x8e9            酒徒
x8ec      瀕死
x8eq          洪元
x8et           演示
x8ev          漁翁得利
x8ez      酒德
x8f.          酒坊
x8f9      潰堤
x8fe            酒壺
x8g8 滴粉搓酥
x8gj   沒精打彩
x8gj   沒精打采
x8gx       演技
x8h5     演成
x8i9   酒杯
x8if  酒桶
x8il      酒樓
x8ir 酒櫃
x8it  酒禁
x8k1     瀆神
x8k7    洪福
x8kq      洪亮
x8kz           酒意
x8l       酒女
x8m, 酒家
x8ml        酒宴
x8mo       酒窩
x8n          汾
x8n      湓
x8n     潾
x8n       水分
x8n2        潾
x8nc           酒色
x8nc       瀕危
x8nu         湓
x8o         浴
x8o   涗
x8o8  演員
x8oc    酒吧
x8od    演唱
x8of    酒精中毒
x8oi           酒味
x8oo    酒器
x8oq         涗
x8p5        瀆職
x8pf    酒肆
x8pf     酒酣耳熱
x8q    涗
x8r          涕
x8r     水粉畫
x8r/         涕
x8ro        瀕臨
x8ro        濱臨
x8sx        潰散
x8sx       酒友
x8t4          演練
x8tp      滇緬
x8ts       演繹
x8u      湓
x8u       滏
x8u.        酒瓶
x8u5        演義
x8u;     演藝
x8ui         酒菜
x8uq   洪荒
x8va   演奏
x8vq     洪規
x8w8            酒興
x8wf    洪峰
x8ww     演出
x8x       滏
x8x         潎
x8x         洪水
x8x      湄公河
x8x.   濱海
x8x.  瀕海
x8x.  洪濤
x8x 灌米湯
x8xa     潰決
x8xc           滇池
x8xo   酒渦
x8xo     洪洞
x8xq 洪流
x8xr         濱江
x8xu  滏
x8y  酒精燈
x8y4            潰爛
x8ze      酒性
x9     浞
x9     沚
x9      瀝
x9/u          瀝血
x90 汐止鎮
x919       河北一路
x929    河北二路
x93  湞
x93   濬
x938          湞
x95            濊
x97         滷
x97y   滷
x98           瀕
x98       湞
x98           澯
x98b         活躍分子
x98n          澱粉
x99   河北路
x99         溪北路
x991h            河北路一段
x992h     河北路二段
x993h  河北路三段
x9a   湖北人
x9aa       酒足飯飽
x9am      水上人家
x9b  滿足了
x9c    泚
x9ci        水上飛機
x9d      淖
x9d           昝
x9ds   淖
x9e          淑
x9e      瀣
x9e      水上
x9e       河北街
x9e3            漲跌互見
x9ex          淑
x9ex  浪跡天涯
x9fj  瀝青
x9h        濊
x9h5  濊
x9hk          沒齒不忘
x9j1          瀝膽
x9j9        活蹦亂跳
x9kbt        海上交通線
x9kk            濮上之音
x9kt     汴京
x9m           濬
x9m3          濬
x9mf      派上用場
x9n            澯
x9n  瀣
x9n 淡紫色
x9n      深紫色
x9n8 澯
x9ne   瀣
x9o    沾
x9o   咎
x9o           惉
x9o       潞
x9o  水路
x9oz    惉
x9ra          泥足巨人
x9s            淖
x9s     決雌雄
x9sa           滅此朝食
x9sk     沒齒難忘
x9t    涉
x9t           瀕
x9t   水上鄉
x9t      池上鄉
x9t        河北省
x9t 湖北省
x9t8     瀕
x9vw        海上大學
x9x     淑
x9x   潞
x9x       瀝水
x9x9            瀝瀝
x9xi           汴梁
x9xo     潞
x9xo     漩渦
x9xp     泥足深陷
x9y      滷
x9z        惉
x;         濁
x;,     法力
x;,b   法駕
x;.            又以為
x;.         滿以為
x;.j     法朗
x;.p  法郎
x;.q    法航
x;/       滲
x;1        潛台詞
x;1o        法語
x;2        涘
x;2  洠
x;2/         濁物
x;2/        法物
x;2n            法制
x;2v  涘
x;3k        法眼
x;3n            法則
x;5f  法理
x;6         法門
x;71    法界
x;75            法國
x;8 浚
x;81            法幣
x;8x      浚
x;;   滲
x;;/      滲
x;;t           法螺
x;a    法人
x;a.           法令
x;ad          法會
x;ai  法條
x;an  法例
x;b,         法務
x;bg         法子
x;c     又能
x;c0        法庭
x;cd           法旨
x;cx 法度
x;e  灗
x;e5        法式
x;ed  法曹
x;ef           法律
x;ej    法術
x;ej           法事
x;ex            法政
x;ex         法吏
x;ez    法德
x;f.k            水能載舟，亦能覆舟
x;f/         法場
x;fc          法老
x;fp          濁聲
x;h1    法師
x;h;          法屬
x;hu      冬蟲夏草
x;i3   法相
x;if        法權
x;it         法禁
x;k      灗
x;k      殺蟲劑
x;kd        濁音
x;ke          灗
x;kk           法衣
x;ko            法商
x;ks     法辦
x;kx           法文
x;m         法雨
x;m,  法家
x;m8        法寶
x;m8 法典
x;m9            法定
x;mi 法案
x;mo  法帖
x;mr         法官
x;n     又能夠
x;no        法名
x;o            治
x;oq  法號
x;p     波以耳
x;pme            波以耳定律
x;pq  法院
x;q      沇
x;q            溉
x;qb          法碼
x;r 溉
x;r        渱
x;r8            法醫
x;rd    法書
x;rq 溉
x;sl  濁世
x;t,           法緣
x;tc 法紀
x;tl  法網
x;tq       法統
x;tx 法線
x;u           殺虫藥
x;u      殺蟲藥
x;u1            法警
x;u5          法藏
x;uf      法華
x;uu       法益
x;v     涘
x;vq  法規
x;w       海參崴
x;wg        法學
x;x      浚
x;x    濁水
x;x. 法海
x;xo       法治
x;xq 濁流
x;xr           漓江
xa         滿
xa,          又像
xa,          殺人犯
xa,  殺傷力
xa.       泠
xa.     泭
xa.        洑
xa.         又傳
xa.        沒作為
xa.1          滿州
xa.o   河伯為患
xa.v        滿族
xa.y   殺人放火
xa/      洢
xa/     沴
xa/      浴佛節
xa/d           殺人盈野
xa/e        沒他的事
xa/e          沒你的事
xa/g6   各人自掃門前雪，莫管他人瓦上霜
xa/m            決策
xa/t        消化系統
xa/u 決算
xa0          準備金
xa1        滌
xa1         潃
xa1   浟
xa1        滫
xa11      深入討論
xa15      決議
xa1i   滌
xa1j  滫
xa1j 潃
xa1r            逢人說項
xa1s        決計
xa1x         浟
xa2      混合物
xa2y  決無
xa3  滿目
xa3k       滿眼
xa3n          深入瞭解
xa4        澮
xa4           殺人罪
xa4d    澮
xa5    瀸
xa6 滿門
xa6q     各個擊破
xa6x      滿版
xa78    滿貫
xa8        水貨
xa8n     滿分
xa9      滿足
xa9       湊足
xa9  準拿督
xa91h 海佃路一段
xa92h     海佃路二段
xa93h            海佃路三段
xa94h        海佃路四段
xa95    滿歲
xa;  水禽
xa;     沈劍虹
xaa    澰
xaa        溣
xaa        瀸
xaa        滿人
xaa           活像個
xaa1  滿佈
xaa5        瀸
xaaa  殺人償命
xaaan         殺人償命，欠債還錢
xaab     激進份子
xaaf          漸入佳境
xaai         湊集
xaao       湊合
xaao    漁會人員
xaaq           沃饒
xaau           溣
xaaz          深入人心
xab        泠
xab        淰
xab           潝
xab  深化了
xab.           泠
xab      準備了
xabg       滿子
xabj           滿了
xabz           淰
xac 沎
xac   沒什麼
xac           沉住氣
xac9          決疑
xaca           欷歔
xacf        滿座
xacm    沒什麼用
xacu   漸仁摩義
xad          昝
xad         澮
xad    又會
xad9     滿是
xadj          沃野
xadx     湊數
xae    涼仆街
xae6         混合列車
xaec         決死
xaee        酒食徵逐
xaej            滿街
xaek        決裂
xaev      滿天
xaev      漁人得利
xaex    冬令救濟
xaf     塗
xaf       淮
xaf,       酒食地獄
xaf   沃土
xaf/   滿場
xaf5       滿載
xaf9       決堤
xafa     殺人越貨
xafa         殺人越貸
xafc  滿地
xafe    殺人者死
xafk        沃壤
xafz         決志
xag         泭
xag.        泭
xag9 決提
xah.          消化不良
xah0           湊近
xah33           殺人不眨眼
xah5          湊成
xah9         決不
xahc       深信不疑
xahd          滿百
xahp        滿面
xai  滌
xai 涂
xai      潗
xai      漵
xai 塗
xai            希伯來
xai         淨化機
xai  漲停板
xai7     滿檔
xaif     塗
xaii            濫伐林木
xait 決標
xaix            漵
xaj       渝
xaj       滿月
xaj,      決勝
xaj13      逢人且說三分話，未可全拋一片心。
xaja     滿臉
xaja          沃腴
xajn           渝
xajr          滿腔
xajx     滿腹
xajy 決然
xak       準
xak    淮
xak      潐
xak        潗
xak        水位
xake 海傍新街
xakf       淮
xaki   潗
xakp            湊齊
xakp  清傳商職
xaks            準
xaktk       清傳高級商業職業學校
xakv            漁人之利
xaky      潐
xakz     滿意
xakz            決意
xal    滄
xalc      殺人如麻
xam          淪
xam        咎
xam            淮
xam        混合體
xam  沾便宜
xam7          決審
xam8     決賽
xam8   滿額
xam9  決定
xamf    滿室
xamu            淪
xan   渝
xan     水份
xao          洽
xao       咎
xao   滄
xao         涻
xao         決口
xao  漱口
xao         滿口
xao       消化器
xao//        瀲
xao//           澰
xao//  潝
xao//            渰
xao//       瀹
xao5            決戰
xao8    沙煲兄弟
xaoa          澰
xaob     潝
xaom         消化器官
xaon  滿嘴
xaou        渰
xaou           瀹
xaox    瀲
xaoz      渡假中心
xap 滿身
xap 潛伏期
xapj   滿期
xar   滄
xar         洢
xar/ 洢
xar0   決選
xar7m   各人民團體
xara            深入工作
xarb  湊巧
xaro 滄
xas  準
xas        涻
xaso 涻
xat    又何嘗
xat1         決斷
xatc  決絕
xath   又何嘗不
xath4           又何嘗不要
xathi           又何嘗不想
xathk   又何嘗不望
xatm        淨值總額
xau 淪
xau       濮
xau   溣
xau 瀹
xau        渰
xau            又何苦
xau 水仙花
xau            消化道
xau4        又何苦要
xau6 又何苦將
xauo      又何苦呢
xauv  濮
xav            濮
xav    洑
xav    汽修科
xav.   洑
xava  各位大俠
xava  各位看倌
xavz       深仇大恨
xaw     水仙
xaw 淚人兒
xaww           湊出
xax         瀲
xax    浟
xax           漵
xax   水餃
xax            混合法
xax   激進派
xax1         滿洲
xax7          又餓又累
xaxa          滿滿
xaxa      湊湊
xaxa 決決
xaxa          沃沃
xaxa       浹浹
xaxa 準備準備
xaxj       滿清
xaxj          滿潮
xaxj            沁人沁脾
xaxq  漱洗
xaxw       深入淺出
xaxw 淡入淡出
xaxx    又饑又渴
xaxx     港人治港
xay   潐
xaz         淰
xaz    決心
xaz       滿心
xaz      又何必
xaz    潛伏性
xazk            滿懷
xazl9      又何必如此
xazo            又何必呢
xb 灣
xb     溤
xb,            湧
xb,         潏
xb,o  潏
xb.   汋
xb.  涌
xb., 湧
xb.f        湧
xb/           淴
xb/     沕
xb/     漻
xb/5      污衊
xb/z          淴
xb0        淡馬錫
xb1            池
xb1          渹
xb19       滑了一跤
xb1c            池
xb2        淘
xb2/   污物
xb2w 淘
xb4o   污點
xb6       剎那間
xb7e 浪子回頭
xb7e0         浪子回頭金不換
xb8        澦
xb8     淗
xb8  瀷
xb9         湑
xb9j     湑
xba            汲
xbag       灣仔
xbao   法務人員
xbb         漻
xbb      瀷
xbb      濢
xbb     汲
xbb           濯
xbb/     漻
xbb/            沉甸甸的
xbb    沈甸甸
xbb8     瀷
xbbf          濯
xbbs       濢
xbc 池
xbc         泡
xbc           氾
xbd   洵
xbd            測驗題
xbe           泀
xbe8      灣頭
xbeo       泀
xbex            污吏
xbf         涌
xbf           濯
xbfo        污垢
xbg8  污損
xbh          港務局
xbh.   污辱
xbj 沀
xbj   湑
xbj     澦
xbj8            澦
xbk    法務部
xbkh          溫柔敦厚
xbkp            法務部長
xbl           洶
xbm          泡
xbno      污名
xbo          泃
xbo           潏
xbo     泀
xbp   沒了期
xbr      泡
xbrc   泡
xbry       汗馬功勞
xbs          濢
xbt  溫柔鄉
xbt         潭子鄉
xbu5          污蔑
xbuf 涼了半截
xbv          氾
xbv5       污穢
xbw        涵
xbw   洶
xbw           淘
xbx      涵
xbx     洶
xbx            污水
xbx.         瀚海
xbx;    污濁
xbxb       涔涔
xbxc       污泥
xbxi           污染
xbxq          灣流
xbxu           流通渠道
xbxw         洶
xbxw   涵
xbz    淴
xbz    流通性
xc 汽
xc 漉
xc,     澽
xc.     汛
xc.       汍
xc.0      汽艇
xc.8      港資
xc.j    浩氣凜然
xc.o        汽船
xc.y      混為
xc/ 氿
xc/   滮
xc/      染
xc/            汛
xc/.          汍
xc/     溫庭筠
xc/c            港九
xc/s   汽笛
xc/u  混血
xc0      沙鹿鎮
xc05         灑錢
xc0o         汽鍋
xc1  汛
xc1        溫度計
xc2k    泡製
xc2r    汽缸
xc3     灖
xc3k        混賬
xc4     瀍
xc4f    瀍
xc5.           汽球
xc6         汽車
xc6       水庫
xc6            汽門
xc6.  泡狀
xc6x          泥漿
xc7    濾
xc7  瀘
xc78           淹貫
xc7u            瀘
xc7z  濾
xc8     滊
xc8        瀇
xc8          水氣
xc81       港幣
xc8s          泥醉
xc9     湖底路
xc9          漢慶路
xc9e       灑上
xc9e       滬上
xc9e   泡上
xc9e     池上
xc9t     混跡
xca         混入
xca            泥人
xca, 泥像
xca   港人
xcac         汽化
xcao            混合
xcb,      港務
xcb;           混蛋
xcbg            港子
xcbg        池子
xcbk          希旨承顏
xcc    沘
xcc  湝
xcc     又比
xccd           湝
xcd   湝
xcd       沙塵暴
xcd     溶氧量
xcd/    泡影
xce       澽
xce     混一
xce,         澽
xce5           港式
xcec    淹死
xcen        混到
xceq       混元
xcf 滽
xcf         瀍
xcf          泥土
xcf            濕度表
xcf.       泥封
xcfc            港墘
xcfo           池塘
xcfo   泥塘
xcfp         港都
xcfq       泥坑
xcfs       港埠
xcg     滹
xcg          沒遮攔
xcg0 海底撈針
xcg1         灑掃
xcgj 海底撈月
xch0           灑遍
xch0           淹遲
xch5   混成
xchf     汽壓
xchf           泥壁
xchg  混厚
xci          柒
xci    染
xci      灖
xci3    灖
xcij           涎皮賴臉
xcix 泥板
xcj    滹
xcj          淹月
xcjc     混亂
xcjg        滹
xcjj           殺氣騰騰
xcjq       灑脫
xck1      港市
xckd      混音
xckf  混雜
xcko          港商
xckq          混充
xckr    沙鹿高工
xcktr        沙鹿高級工業職業學校
xckx    港龍
xcl      婆
xcm         渡
xcm0          混過
xcmd  淹宿
xcmk 混帳
xcmm            鴻飛冥冥
xcmo      混同
xcn        沏
xcno           混名
xcny     泥鰍
xco    溏
xco 澞
xco    港口
xco5  混戰
xcov           澞
xcpu       海底隧道
xcq         淲
xcq          碆
xcq.    泥磚
xcq/          滮
xcr            溏
xcr           漮
xcr            滽
xcr           泥工
xcr1    泥匠
xcr7     淹留
xcrc           泥巴
xcrf          滽
xcro   溏
xcru   池鹽
xcrv    水磨工夫
xcrx  漮
xcs           渡
xcs           汛
xcs   瀇
xcs. 淹博
xcs8          瀇
